Date,Reception
09-2019,247.8825396825395
08-2019,114.29325396825385
07-2019,138.2071428571428
06-2019,104.55591630591618
05-2019,167.86111111111111
04-2019,181.9071428571429
03-2019,213.08053058053034
02-2019,174.39167776667765
01-2019,168.32775280275277
12-2018,139.7357142857142
11-2018,122.62936507936502
10-2018,103.01507936507943
09-2018,172.32976190476188
08-2018,137.34920634920638
07-2018,140.61108613608616
06-2018,206.45202020201992
05-2018,154.87777777777757
04-2018,202.9833333333332
03-2018,148.9468253968254
02-2018,145.45910200910194
01-2018,109.99801587301593
12-2017,164.16031746031737
11-2017,176.11071428571415
10-2017,148.18809523809514
09-2017,193.51428571428562
08-2017,322.3944444444444
07-2017,217.4773809523809
06-2017,220.41468253968233
05-2017,220.29960317460316
04-2017,307.6289682539682
03-2017,189.37976190476175
02-2017,211.61468253968252
01-2017,159.70357142857145
12-2016,211.81150793650784
11-2016,384.0610861360866
10-2016,178.3781746031745
09-2016,148.03730158730153
08-2016,142.10357142857106
07-2016,343.775011100011
06-2016,194.23852813852812
05-2016,258.56190476190466
04-2016,295.7285714285712
03-2016,239.27738095238078
02-2016,228.6309523809522
01-2016,247.4107142857143
12-2015,212.89206349206347
11-2015,184.53373015873012
10-2015,198.59404761904753
09-2015,260.70793650793644
08-2015,223.58571428571423
07-2015,181.175
06-2015,250.47896825396805
05-2015,261.8440476190475
04-2015,297.8214285714285
03-2015,229.76583694083695
02-2015,271.00476190476184
01-2015,331.3440476190475
12-2014,251.63095238095246
11-2014,307.53571428571416
10-2014,279.8718253968249
